id,name,category,careerUrl
tata-consultancy-services-tcs,Tata Consultancy Services (TCS),IT Services,https://www.tcs.com/careers
infosys,Infosys,IT Services,https://www.infosys.com/careers.html
wipro,Wipro,IT Services,https://careers.wipro.com
hcltech,HCLTech,IT Services,https://www.hcltech.com/careers
tech-mahindra,Tech Mahindra,IT Services,https://careers.techmahindra.com
cognizant,Cognizant,IT Services,https://careers.cognizant.com
capgemini,Capgemini,IT Services,https://www.capgemini.com/in-en/careers/
accenture,Accenture,IT Services,https://www.accenture.com/in-en/careers
ibm-india,IBM India,IT Services,https://www.ibm.com/careers
ltimindtree,LTIMindtree,IT Services,https://www.ltimindtree.com/careers/
mphasis,Mphasis,IT Services,https://careers.mphasis.com
hexaware-technologies,Hexaware Technologies,IT Services,https://careers.hexaware.com
persistent-systems,Persistent Systems,IT Services,https://www.persistent.com/careers/
zensar-technologies,Zensar Technologies,IT Services,https://www.zensar.com/careers
coforge-niit-technologies,Coforge (NIIT Technologies),IT Services,https://www.coforge.com/careers
birlasoft,Birlasoft,IT Services,https://www.birlasoft.com/careers
cyient,Cyient,IT Services,https://www.cyient.com/careers
mastek,Mastek,IT Services,https://mastek.com/careers/
sonata-software,Sonata Software,IT Services,https://www.sonata-software.com/careers
happiest-minds-technologies,Happiest Minds Technologies,IT Services,https://www.happiestminds.com/careers/
quinnox,Quinnox,IT Services,https://www.quinnox.com/careers/
r-systems-international,R Systems International,IT Services,https://www.rsystems.com/careers/
newgen-software,Newgen Software,IT Services,https://newgensoft.com/careers/
kpit-technologies,KPIT Technologies,IT Services,https://www.kpit.com/careers/
larsen-toubro-technology-services-ltts,Larsen & Toubro Technology Services (LTTS),IT Services,https://www.ltts.com/careers
google-india,Google India,Global Tech / Product,https://careers.google.com
microsoft-india,Microsoft India,Global Tech / Product,https://careers.microsoft.com
amazon-india,Amazon India,Global Tech / Product,https://www.amazon.jobs
adobe-india,Adobe India,Global Tech / Product,https://www.adobe.com/careers.html
sap-labs-india,SAP Labs India,Global Tech / Product,https://jobs.sap.com
oracle-india,Oracle India,Global Tech / Product,https://www.oracle.com/careers/
salesforce-india,Salesforce India,Global Tech / Product,https://www.salesforce.com/company/careers/
vmware-india,VMware India,Global Tech / Product,https://careers.vmware.com
cisco-india,Cisco India,Global Tech / Product,https://jobs.cisco.com
dell-technologies-india,Dell Technologies India,Global Tech / Product,https://jobs.dell.com
hewlett-packard-enterprise-hpe,Hewlett Packard Enterprise (HPE),Global Tech / Product,https://careers.hpe.com
intel-india,Intel India,Global Tech / Product,https://jobs.intel.com
qualcomm-india,Qualcomm India,Global Tech / Product,https://www.qualcomm.com/company/careers
nvidia-india,NVIDIA India,Global Tech / Product,https://www.nvidia.com/en-us/about-nvidia/careers/
samsung-r-d-india,Samsung R&D India,Global Tech / Product,https://www.samsung.com/in/careers/
texas-instruments-india,Texas Instruments India,Global Tech / Product,https://careers.ti.com
juniper-networks-india,Juniper Networks India,Global Tech / Product,https://careers.juniper.net
servicenow-india,ServiceNow India,Global Tech / Product,https://careers.servicenow.com
autodesk-india,Autodesk India,Global Tech / Product,https://www.autodesk.com/careers
nutanix-india,Nutanix India,Global Tech / Product,https://www.nutanix.com/careers
micron-technology-india,Micron Technology India,Global Tech / Product,https://www.micron.com/careers
